ShipmentID,Origin,Destination,WeightKG,DistanceKM,DeliveryStatus,ShipmentDate,DeliveryDate,Carrier,CostUSD,ServiceType,Priority
7e72a225-c61a-48c4-b202-4f355a050aa3,East William,Tinamouth,3.72,8672.6,Cancelled,2025-05-02,,Starlinks Express,363.49,Same Day,Low
fe6e91bc-e191-4a28-9042-cec55486b0ea,Boonemouth,Annfort,223.23,10728.7,Delivered,2025-04-13,2025-04-13,UPS,57147.13,Same Day,Medium
bc5ed1fc-32ef-43c1-868a-326290cc2c8e,Lauraberg,West Sierra,516.36,11411.7,In Transit,2024-10-16,,Royal Mail,239946.87,Overnight,High
d1250f95-c050-45ba-b2e0-2be0c34a488f,Leeview,North Jacqueline,709.01,2722.3,Delivered,2025-06-07,2025-06-07,DHL,62795.83,Same Day,Low
c54d7b47-7a02-4579-b40c-cdcd842dcb30,Rickfurt,Lake Brandonland,860.28,6848.7,Delayed,2025-07-01,,UPS,164939.8,Overnight,High
2cb7a0de-a5f1-40fc-bdfd-b020e54789d0,East Jennifer,Marcusville,355.44,8637.7,In Transit,2024-07-26,,FedEx,81779.9,Express,High
cd3c5768-65af-47d4-9e91-07195c17c68a,Danielport,Stewartborough,936.91,14850.2,Cancelled,2025-05-30,,UPS,435499.81,Overnight,Low
2943d0b6-9317-4ae2-9fb8-ef43a48003c2,North Jason,Wardville,689.96,586.3,Delivered,2024-08-13,2024-08-13,DHL,8932.7,Express,Medium
fb0d93fb-4636-4ce7-ab71-4a98f2601e80,Bennetttown,Jenniferton,746.82,14169.5,Cancelled,2025-02-08,,DHL,448562.84,Express,Low
b0ba00fd-750e-4f75-ace9-d909496d11c7,Mariatown,Johnburgh,404.75,4673.5,Delayed,2025-02-06,,Starlinks Express,90271.84,Express,Medium
52b5cdfd-7d3f-410a-ae2d-a76a4d8d15d5,Rachelborough,Robertsonside,13.01,3057.7,In Transit,2024-09-12,,Royal Mail,1890.66,Overnight,High
6f20506c-ed62-413b-8b42-b1a2876dd0a4,East Austin,Crawfordborough,888.59,5393.6,In Transit,2024-10-04,,Starlinks Express,193544.58,Overnight,Low
3f46b4c1-f0d6-453e-8032-bc434dec7bfd,North Tommyborough,New Anthonyville,779.31,5985.7,Delivered,2025-02-21,2025-02-21,FedEx,121197.07,Same Day,High
8742ddc2-a84c-4b50-b35f-20874259c21b,Catherinemouth,Port Jermaineport,477.27,7655.7,Cancelled,2025-04-19,,Starlinks Express,88355.44,Standard,Low
29a4df54-7de8-4e43-8658-33e8a968f20f,Hamiltonport,Lake Amandamouth,493.42,9660.4,Cancelled,2025-04-10,,UPS,176678.9,Overnight,Low
3a163ad9-894a-49f7-a436-a67edb09caa4,Erinburgh,West Kelly,313.71,11891.6,In Transit,2024-10-04,,UPS,133721.18,Standard,Medium
5df6f0c1-a1aa-4773-b4af-752c391cb07b,Port Omarport,Julieside,400.1,4763.7,In Transit,2024-07-25,,Royal Mail,88990.64,Standard,High
e7c2d8b8-7d09-4019-9928-bc26db22d857,Johnsonland,Port Brittany,564.1,2473.0,Delayed,2024-08-12,,FedEx,19991.73,Same Day,High
cdc62d0d-f6fc-4b7d-b70c-80ac1ab51515,East Davidport,Ramirezton,185.7,11518.3,In Transit,2024-09-22,,Starlinks Express,55426.73,Same Day,Low
56690675-87f5-4bb4-9bbf-3e09a4d5a293,Lucashaven,Heatherborough,549.17,2935.7,In Transit,2024-09-05,,DHL,73545.7,Express,Medium
